genres,tmdbId,poster_path,title,overview
Comedy Thriller Crime,8012.0,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,Get Shorty,Chili Palmer Miami mobster gets sent boss psychopathic Bones Barboni collect bad debt Harry Zimm Hollywood producer specializes cheesy horror films When Chili meets Harrys leading lady romantic sparks fly After pitching life story movie idea Chili learns mobster Hollywood producer arent different
Drama Thriller,1710.0,/80czeJGSoik22fhtUM9WzyjUU4r.jpg,Copycat,An agoraphobic psychologist female detective work serial killer copies serial killers past
Action Adventure Crime Thriller,9691.0,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,Assassins,Assassin Robert Rath arrives funeral kill prominent mobster witness rival hired gun complete job grisly results Horrified murder innocent bystanders Rath decides job return civilian life But finding way world contract killing grows dangerous Rath falls female target marked man
Drama Fantasy ScienceFiction Thriller,12665.0,/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg,Powder,Harassed classmates wont accept shocking appearance shy young man known Powder struggles fit But cruel taunts stop Powder displays mysterious power allows incredible things This phenomenon changes lives ways imagined
Drama Romance,451.0,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,Leaving Las Vegas,Ben Sanderson alcoholic Hollywood screenwriter lost drinking arrives Las Vegas drink death There meets forms uneasy friendship noninterference pact prostitute Sera
Drama,16420.0,/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg,Othello,The evil Iago pretends friend Othello order manipulate serve end film version Shakespeare classic
Comedy Drama Family,9263.0,/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,Now and Then,Waxing nostalgic bittersweet passage childhood puberty tender comingofage tale childhood girlfriends Teeny Chrissy Samantha Roberta recall magical summer 1970 During walk memory lane reconcile experiences boys secrets bullies
Drama Romance,17015.0,/si8911IezMvAnQFDvyg1nKzDlD.jpg,Persuasion,This film adaptation Jane Austens novel follows Anne Elliot daughter financially troubled aristocratic family persuaded break engagement Frederick Wentworth young sea captain meager means Years later money troubles force Annes father rent family estate Admiral Croft Anne thrown company Frederick rich successful love Anne
Fantasy ScienceFiction Adventure,902.0,/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,The City of Lost Children,A scientist surrealist society kidnaps children steal dreams hoping slow aging process
Drama Crime,37557.0,/qcoOCoN7viOhboGwhYXyApdDuiq.jpg,Shanghai Triad,A provincial boy related Shanghai crime family recruited uncle cosmopolitan Shanghai 1930s servant ganglords mistress
Drama Crime,9909.0,/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg,Dangerous Minds,Former Marine Louanne Johnson lands gig teaching pilot program bright underachieving teens notorious innercity high school After having terrible day decides throw decorum wind When Johnson returns classroom armed nononsense attitude informed military training fearless determination better lives students matter cost
ScienceFiction Thriller Mystery,63.0,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,Twelve Monkeys,In year 2035 convict James Cole reluctantly volunteers sent time discover origin deadly virus wiped nearly earths population forced survivors underground communities But Cole mistakenly sent 1990 instead 1996 hes arrested locked mental hospital There meets psychiatrist Dr Kathryn Railly patient Jeffrey Goines son famous virus expert hold key mysterious rogue group Army 12 Monkeys thought responsible unleashing killer disease
Fantasy Drama Comedy Family,9598.0,/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,Babe,Babe little pig doesnt know place world With bunch odd friends like Ferdinand duck thinks rooster Fly dog calls mom Babe realizes makings greatest sheep pig time Farmer Hogget knows With help sheep dogs Babe learns pig wants
History Drama Romance,47018.0,/a7w6rPdTBgWAx6lnhwHemPx9pEw.jpg,Carrington,The story relationship painter Dora Carrington author Lytton Strachey World War One England cottages countryside Although platonic Stracheys homosexuality relationship deep complicated When Carrington develop physical relationship soldier Ralph Partridge Strachey able welcome friend Partridge remained somewhat uneasy Stracheys lifestyle sexual orientation fact conscientious objector
Drama,687.0,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,Dead Man Walking,A justice drama based true story man death row days forms strong relationship nun teaches forgiveness gives spirituality accompanies execution Susan Sarandon won Oscar best female actress convincing portrayal Sister Helen Prejean
Comedy Family Romance,33689.0,/l67WJL3Mjce1yoEgL4HheR5v75D.jpg,It Takes Two,Identical 9yearolds different backgrounds orphaned Amanda wealthy Alyssa meet summer camp decide switch places play matchmaker Alyssas dad Roger kind social worker cares Amanda
Comedy Drama Romance,9603.0,/i8gEHh2sszB6YWLC0jl559sxAeN.jpg,Clueless,Shallow rich socially successful Cher Beverly Hills high schools pecking scale Seeing matchmaker Cher coaxes teachers dating Emboldened success decides hopelessly klutzy new student Tai makeover When Tai popular Cher realizes disapproving exstepbrother right misguided falls
Drama,34615.0,/ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg,"Cry, the Beloved Country",A SouthAfrican preacher goes search wayward son committed crime big city
Drama War,31174.0,/e8nuS9GQoSFaqld4hW5erk2ccag.jpg,Richard III,Shakespeares Play transplanted 1930s setting
Action Crime Drama History,11443.0,/2dLyvXVvJXUR9otoqERkYpao1bB.jpg,Dead Presidents,Depicts heist old bills retired circulation destined government money burn However broadly addresses issues Black Americans involvement Vietnam War subsequent disillusionment progress social issues civil rights home United States 1960s
Drama Romance,35196.0,/aqQdEQ1ZVdzrREJxCoPzTlLgHVw.jpg,Restoration,An aspiring young physician Robert Merivel service King Charles II saves life close King Merivel joins Kings court lives high life provided position Merivel ordered marry Kings mistress order divert queens suspicions He given order king fall love The situation worsens Merivel finds love new wife Eventually King finds relieves Merivel position wealth His fall grace leaves Merivel started And travels reunions old friend rediscovers love true medicine means physician
Action Fantasy,9312.0,/bdXWixjWVA7Y03PvW74xufrROiJ.jpg,Mortal Kombat,For generations evil sorcerer victorious handtohand battle mortal enemies If wins tenth Mortal Kombat tournament desolation evil reign multiverse forever To save Earth warriors overcome seemingly insurmountable odds inner demons superhuman foes actionadventure movie based popular video games time
Fantasy Drama Comedy Thriller,577.0,/zCREx8trzejNieDLUsRuwLU0cS3.jpg,To Die For,Susan wants work television takes means killing husband A dark comedy independent director Gus Van Sant brilliant Nicole Kidman leading role
Drama Romance,11861.0,/wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg,How To Make An American Quilt,Soontobewed graduate student Finn Dodd develops cold feet suspects fiancé cheating In order clear head Finn visits grandmother Hy great aunt Glady Joe Cleary Grasse Calif There Finn learns Hy Glady Joe members group passionate quilters course visit regaled tales love life women collected rich experiences wisdom
Crime Mystery Thriller,807.0,/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg,Se7en,Two homicide detectives desperate hunt serial killer crimes based seven deadly sins dark haunting film takes viewers tortured remains victim The seasoned Det Sommerset researches sin effort inside killers mind novice partner Mills scoffs efforts unravel case
Adventure Animation Drama Family,10530.0,/qk95miOV8wDABbO5gyCpCrvbVFu.jpg,Pocahontas,History comes gloriously life Disneys epic animated tale love adventure New World Pocahontas Native American woman father arranged marry villages best warrior But vision tells change coming soon comes face face form Capt John Smith
Drama Romance,8391.0,/wnUuYc9XnWrTTAGz8YjjULA3Zmr.jpg,When Night Is Falling,A prudish woman working tenure literacy professor large urban university finds strangely attracted freespirited liberal woman works local carnival comes town
Drama Crime Thriller,629.0,/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg,The Usual Suspects,Held LA interrogation room Verbal Kint attempts convince feds mythic crime lord Keyser Soze exists responsible drawing partners multimillion dollar heist ended explosion San Pedro harbor leaving survivors Verbal lures interrogators incredible story crime lords supernatural prowess
Comedy Romance,11448.0,/2NcPyb9vPehZ0aOjYayDAW1XeVy.jpg,Mighty Aphrodite,When Lenny wife Amanda adopt baby Lenny realizes son genius obsessed finding boys biological mother hopes brilliant But learns Maxs mother Linda Ash kindhearted prostitute porn star Lenny determined reform immoral lifestyle A Greek chorus chimes relate plot Greek mythology quirky comedy
Drama Foreign,49133.0,/407nYlg60AOj95lqDZ4tvUTTm1k.jpg,Lamerica,Fiore Italian conman arrives post Communist Albania Gino young apprentice set shoe factory open The requires native Albanian designate Spiro impoverished confused political prisoner chairman board When Fiore returns Italy government funds project Spiro unexpectedly disappears Gino sets journey The search leads discover Spiros tragic personal history witness Albanian poverty firsthand
Action Adventure Comedy Family,26441.0,/erWfSEcjO4LG69Tlm2mED5JMSqH.jpg,The Big Green,In depressed Texas town British foreign exchange teacher Anna attempts inject life hopeless kids introducing soccer Theyre terrible Anna footballhero assistant whip shape As work overtime pair help kids build selfesteem involved solving family squabbles
Drama,97406.0,/5OTTRuKfiso75xofN8Vl5mRXOQP.jpg,Georgia,Sadie looks older sister Georgia successful folk singer whos happily married children break barband circuit hit big time desperately covets Its attraction drugs booze unwise choice men Finally Sadies Achilles heel rough unlovely voice different sisters crowdpleasing singing
Comedy Drama Romance,9089.0,/97EKLaslQ4gzkvALtqGCDOmsGHk.jpg,Home for the Holidays,After losing job making soon exboss finding daughter plans spend Thanksgiving boyfriend Claudia Larson face spending holiday family She wonders survive crazy antics
Comedy Drama Romance,11010.0,/qkq2JfINRQi4Iu9VTMMtQFfmGWZ.jpg,The Postman,Simple Italian postman learns love poetry delivering mail famous poet uses woo local beauty Beatrice
Thriller Drama Mystery,99040.0,/8RCRrSAY8e3Qn5p9cNv188ogmZQ.jpg,The Confessional,The year 1952 Quebec City Rachel 16 unmarried pregnant works church Filled shame unburdens guilt young priest confidentiality confessional In present year 1989 Pierre Lamontagne returned Quebec attend fathers funeral He meets adopted brother Marc begun questioning identity embarked quest roots lead Quebec 1950s Past present converge complex web intrigue answer mystery lies
Adventure Family Fantasy,11359.0,/l16BtfILyWxYwSqzofL3V1rMSwe.jpg,The Indian in the Cupboard,A nineyearold boy gets plastic Indian cupboard birthday finds involved adventure Indian comes life befriends
Drama Thriller,17182.0,/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,Eye for an Eye,Its brimstone time grieving mother Karen McCann takes justice hands kangaroo court Los Angeles fails convict Robert Doob monster raped murdered 17yearold daughter
Music Drama Family,2054.0,/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,Mr. Holland's Opus,In 1965 passionate musician Glenn Holland takes day job high school music teacher convinced small obstacle road true calling writing historic opus As decades roll composition unwritten generations students inspired teaching Holland redefine lifes purpose
Comedy Romance,19760.0,/e0iwJJiLjk8Z6A9TuL3neX504H3.jpg,Two If by Sea,Frank OBrien petty thief 7yearlong girlfriend Roz want end unsteady lifestyle job involves stealing valuable painting Frank takes Roz island coast New England wants sell painting hopes sagging relationship positive push Not goes planned
Comedy,9536.0,/1bAUaipv3gDU1pATGwziyq1VTwZ.jpg,Bio-Dome,Bud Doyle losers lives Both girlfriends actively involved saving environment friends care saving Earth One day group scientists begin mission live inside BioDome year outside contact Bud Doyle mistakenly project
Action ScienceFiction,11525.0,/i0hBsWBLw64XRehFzCL44PaCs1y.jpg,Lawnmower Man 2: Beyond Cyberspace,Jobe resuscitated Jonathan Walker He wants Jobe create special chip connect computers world network Walker control use But Walker doesnt realize group teenage hackers stop plan
Comedy Romance,4482.0,/dDB8mMKRL28gHsRcGPoMQYrzaXg.jpg,French Twist,After learning husbands infidelities housewife invites itinerant lesbian None lives
Comedy,10634.0,/kkoGT4bnK5oGiNbzGGcXzrXMSxn.jpg,Friday,Craig Smokey guys Los Angeles hanging porch Friday afternoon smoking drinking looking
Horror Action Thriller Crime,755.0,/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg,From Dusk Till Dawn,Seth Gecko younger brother Richard run bloody bank robbery Texas They escape border Mexico homefree morning pay local kingpin They survive dusk till dawn rendezvous point turns Hell strip joint
Action Thriller Romance,11859.0,/ew0LrIN5fpxdimrErEy9Yry3Nn2.jpg,Fair Game,Max Kirkpatrick cop protects Kate McQuean civil law attorney renegade KGB team terminate
Comedy Drama Romance,28387.0,/urPxxjylNUHmoNcGkMgHStMTxhF.jpg,Kicking and Screaming,After college graduation Grovers girlfriend Jane tells shes moving Prague study writing Grover declines accompany deciding instead friends work inertia escape universitys pull Nobody wants big decisions radically alter life wants end like Chet professional student tends bar tenth year university studies
Drama History,48750.0,/ePJCk8puXx28CtvpSpmezpwfVt8.jpg,Les Miserables,In France World War II poor illiterate man Henri Fortin JeanPaul Belmondo introduced Victor Hugos classic novel Les Misérables begins parallels book life
Drama Romance,20927.0,/kTEpzjzyeYER1WuCm7Seul4Fatc.jpg,Bed of Roses,The seeds love planted Lisa highpowered investment banker receives flowers secret admirer But fairytale fantasies clash workaholic ways soon harder love conquer
Horror ScienceFiction,9102.0,/aFEs7D7IQ2IehTsniRIojDkiDl6.jpg,Screamers,SIRIUS 6B Year 2078 On distant mining planet ravaged decade war scientists created perfect weapon bladewielding selfreplicating race killing devices known Screamers designed purpose hunt destroy enemy life forms
Drama Thriller,27526.0,/mMXL84GqES2HYpJ0Zt18I7m6mfU.jpg,The Crossing Guard,After daughter died hit run Freddy Gale waited years John Booth man responsible released prison On day release Gale visits Booth announces kill week Booth uses time try peace entourage finds romance Gale life spiraling obsession Booth bring edge sanity At end week men collision course
Drama Thriller,9623.0,/7aXOB0DyZPxNOYbaQ2oiNn64jm3.jpg,The Juror,With gangster boss trial murder mob thug known Teacher tells Annie Laird talk fellow jurors notguilty verdict implying hell kill son Oliver fails She manages clear mobsters want silence good sends Oliver abroad tries gather evidence plot setting final showdown
Family Drama,46785.0,/96UDOJNgJXHmQMJqA79bKS9PR8i.jpg,The White Balloon,Several people try advantage little girls innocence hustle money mom gave buy goldfish
Drama Crime,400.0,/ysKIolKO0376Nl5DV1fDAAPudEq.jpg,Things to Do in Denver When You're Dead,A mafia film Tarantino style starstudded cast Jimmys The Saint gangster career finally ended Yet finds self favors wise godfather known The Man Plan
Drama Comedy,880.0,/bIQp2SJrVXiQttv9hXeqliQox0K.jpg,Antonia's Line,After World War II Antonia daughter Danielle Dutch hometown Antonias late mother bestowed small farm There Antonia settles joins tightlyknit unusual community Those include quirky friend Crooked Finger wouldbe suitor Bas eventually Antonia granddaughter greatgranddaughter help create strong family empowered women
Romance Drama,146599.0,/tsJSlkFSZPQhhVuKrYJXNClYaPD.jpg,Once Upon a Time... When We Were Colored,This film relates story tightly connected AfroAmerican community informally called Colored Town inhabitants live depend world racist oppression told boy called Cliff spent childhood Despite life community joys sorrows live decide leave better life north For remaining things come situation prominent businessman muscled white competitor racist intimidation In response community decision submit meekly like finally fight rights
,188588.0,/pfgpkDNcwSi1x4jVzeLqvxTwX5a.jpg,Last Summer in the Hamptons,Filmed entirely location East Hampton Long Island Last Summer Hamptons concerns large theatrical family spending weekend summer decadesold family retreat economic circumstances forced market Victoria Foyt plays young Hollywood actress visit wreaks havoc stellar group family friends led matriarch Viveca Lindfors extraordinary mix prominent New York actors directors playwrights In course unusual weekend comic situations arise familys secrets begin unravel
Drama Romance,8447.0,/1QyCF6IFoX5WJIYHOkmLa3vzU0r.jpg,Angels and Insects,In Victorian England wealthy patriarch Sir Harald Alabaster invites impoverished biologist William Adamson home There William tries continue work distracted Alabasters seductive daughter Eugenia William Eugenia begin torrid romance couple closer young scientist begins realize dark disturbing things happening closed doors Alabaster manor
Action Drama,10534.0,/3a5nomeyzJF4gG26HouCtce99ki.jpg,White Squall,Teenage boys discover discipline camaraderie illfated sailing voyage
Comedy,13997.0,/2wsaboVhKXpsLchoaXi0oWmQ7xM.jpg,Black Sheep,When dignified Albert Donnelly runs Governor team moves slowwitted klutzy younger brother Mike eye media To babysit Mike campaign assigns sarcastic Steve gets experience lifetime tries Mike town election
Crime Drama Thriller,2086.0,/3kYcyD9yAjdjimYlIiGPfdMVbZb.jpg,Nick of Time,Gene Watson public accountant arrives train Union Station Los Angeles accompanied 6yearold daughter Lynn Because ordinary looks approached pair sinister people named Smith Jones
Drama Horror Thriller Romance,9095.0,/Oesh4pN5J2ing4flkgkiVdxILP.jpg,Mary Reilly,A housemaid falls love Dr Jekyll darkly mysterious counterpart Mr Hyde
Comedy Horror Romance,12158.0,/bH1v8z12ZU7Y6zANgU1B00a86Co.jpg,Vampire in Brooklyn,Maximillian lone survivor race vampires comes Brooklyn search way live past moon His ticket survival Rita NYPD detective doesnt know shes half vampire Maximillian whatevers necessary spell
Comedy Drama Romance,9283.0,/8leYqrAL6EubYjOCZuO6ELPdLYe.jpg,Beautiful Girls,During snowy winter small fictional town Knights Ridge Massachusetts group lifelong buddies hang drink struggle connect women affect decisions dreams desires
Action Adventure Drama Thriller,9208.0,/avqUG5RYB93rwSUNL5r16Vtbc9g.jpg,Broken Arrow,When rogue stealthfighter pilot Vic Deakins deliberately drops radar maneuvers Air Force ends stolen nuclear warheads Deakinss copilot Riley Hale militarys hope getting Traversing deserted canyons Utah Hale teams park ranger Terry Carmichael Deakins box
Drama,406.0,/jTzBED0leGPwWDqNewye11qzJgd.jpg,La Haine,Aimlessly whiling away days concrete environs deadend suburbia Vinz Hubert Said Jew African Arab human faces Frances immigrant populations bristling resentment social marginalization slowly simmering reaches climactic boiling point La Haine means Hate
Documentary,63076.0,/j9k3UTx7OZ0xoCws1oACYQZFF5N.jpg,Heidi Fleiss: Hollywood Madam,A documentary crew BBC arrives LA intent interviewing Heidi Fleiss year arrest running brothel trial Several months elapse interview crew searches wholl talk young woman Two people lot camera retired madam named Alex Fleiss worked Fleisss onetime boyfriend Ivan Nagy introduced Alex Alex Nagy dont like crew shuttles said said When finally interview Fleiss spend time reciting Alex Nagy asking reaction
Drama Thriller,11062.0,/ttdjD9NpxXsTJidPT3o1Gk0oTkG.jpg,City Hall,The accidental shooting boy New York leads investigation Deputy Mayor unexpectedly farreaching consequences
Comedy Crime Drama,13685.0,/iuO10cRKrMfql5yc8YTgdfHt7gR.jpg,Bottle Rocket,Upon release mental hospital following nervous breakdown directionless Anthony joins friend Dignan far sane Dignan hatched hairbrained scheme asyetunspecified crime spree involves boss supposedly legendary Mr Henry
Comedy Romance,47475.0,/8oZW1loLEczN1BU60YobsJJFdSR.jpg,Mr. Wrong,A single lonely woman finds seemingly perfect man date soon regrets deranged possessive personality emerges worst convince JekyllHyde true nature
Drama Mystery ScienceFiction Thriller,2045.0,/qQek3X5Yv0iLZqQ98KWIKtE3x4m.jpg,Unforgettable,Ray Liotta stars medical examiner acquitted wifes murder question innocence Obsessed finding wifes killer possible solution presents experimental serum designed neurobiology Linda Fiorentino ability transfer memories person consequences Liotta driven solve case injects serum bringing closer closer finding killer bringing closer death
Comedy,9614.0,/pG5edeKkntnt5A799Y0UNI5hi9W.jpg,Happy Gilmore,Failed hockey playerturnedgolf whiz Happy Gilmore unconventional approach antics grass courts ire rival Shooter McGavin determined win PGA tournament save grannys house prize money Meanwhile attractive tour publicist tries soften Happys image
Drama Romance,688.0,/czRuGEx9Yhnh6nApirTLPToxHNu.jpg,The Bridges of Madison County,Photographer Robert Kincaid wanders life housewife Francesca Johnson days 1960s
Action Comedy Music Family Adventure,10874.0,/5A8gKzOrF9Z7tSUX6xd5dEx4NXf.jpg,Muppet Treasure Island,After telling story Flints journey young Jim Hawkins Billy Bones heart attack dies Jim friends attacked pirates The gang escapes town hire boat crew hidden treasure revealed Bones died On voyage seas soon board trusted
Action Drama History War,197.0,/2qAgGeYdLjelOEqjW9FYvPHpplC.jpg,Braveheart,Enraged slaughter Murron new bride childhood love Scottish warrior William Wallace slays platoon local English lords soldiers This leads village revolt eventually entire country rise English rule
Crime Drama,103.0,/yxq4pk1xGmro8tQABuQIrWrvdaE.jpg,Taxi Driver,A mentally unstable Vietnam War veteran works nighttime taxi driver New York City perceived decadence sleaze feeds urge violent action attempting save preadolescent prostitute process
Crime Action Comedy Thriller,33542.0,/y7AxKPPCtZyrGQKvxzn5zTQ8wFm.jpg,Rumble in the Bronx,Keong comes Hong Kong visit New York uncles wedding His uncle runs market Bronx Keong offers help Uncle honeymoon During stay Bronx Keong befriends neighbor kid beats neighborhood thugs cause problems market One petty thugs local gang stumbles criminal situation way head
Drama Thriller,43566.0,/yTDzXDKNGlmGYk5HuEeZUAypo1p.jpg,Before and After,Two parents deal effects son accused murdering girlfriend
Documentary Drama Foreign,51352.0,/x2n4YIVsms3JL8qCfzrbOg2yx0x.jpg,Anne Frank Remembered,Using previously unreleased archival material addition contemporary interviews academy awardwinning documentary tells story Frank family presents fullyrounded portrait brash freespirited daughter Anne worlds famous victim Holocaust Written Dawn M Barclift
Comedy Crime Drama,16934.0,/yLEdmdH8sgK0hbHT4Oie1l1pt5d.jpg,The Young Poisoner's Handbook,A sinister tale genius gone wrong The Young Poisoners Handbook chronicles young mans descent madness absurd backdrop suburban English life Hugh OConor plays Graham Young schoolboy London suburbs deadly obsession toxic substances causes dabble experimental murder
Comedy Romance,10324.0,/kFjffUg7zcST9AW4GoWiJFoNsH3.jpg,If Lucy Fell,Joe Lucy roommates best friends Lucy love life embarrassingly dull convinces Joe infatuated neighbor hes met dont stable romances month jump Brooklyn Bridge
Comedy Drama,78406.0,/dMSEHHiHaCS5lZ7gfkuAH701sBW.jpg,Steal Big Steal Little,Ruben Robby twin brothers adopted Mona wealthiest eccentric women Santa Barbara Ruben devoted Mona Robby devoted money So Mona leaves fortune estate Ruben starts battle brothers soon leads madness mayhem attempted murder On Rubens Lou Perilli exChicago cop car dealer knows law On Robbys ruthless businessman Reed Tyler turn swift profit Monas property Walking shifty line Eddie Agopian family lawyer doesnt care wins long hes winners But theyre stealing big stealing little theyre stealing hilarious comedy greed power brotherly love
Drama,32119.0,/zC4WsoeXN2wCrUjNzu4iu7ph17Z.jpg,The Boys of St. Vincent,The true story boys sexually abused orphanage ran religious community Newfoundland
Comedy Romance,11066.0,/3dDufFHAuVXpfMdXkDUC0M0Y5TL.jpg,Boomerang,Marcus successful advertising executive woos beds women After company merger finds new boss ravishing Jacqueline treating exactly way Completely traumatised work goes badly downhill
Drama Comedy Romance,11104.0,/yQUjZTzwgskqOJdr3jhwQ4yTkvb.jpg,Chungking Express,Every day Cop 223 buys pineapple expiration date May 1 symbolizing day hell lost love Hes got eye mysterious woman blond wig oblivious fact shes drug dealer Cop 663 distraught heartbreak breakup But ex drops spare set keys local cafe waitress lets apartment spruces life
Comedy Romance,2074.0,/pxxYa68L05ZR4vMwc6yB8KqXslo.jpg,Flirting with Disaster,Adopted child new father Mel Colpin Ben Stiller decides son knows birth parents determines crosscountry quest Accompanied wife Nancy Patricia Arquette inept gorgeous adoption agent Tina Tea Leoni departs epic road trip quickly devolves farce mistaken identities wrong turns overzealous lovestruck ATF agents Josh Brolin Richard Jenkins
Fantasy,27793.0,/driZCEKL79PaCsZNICSU3xd59sk.jpg,The Neverending Story III: Escape from Fantasia,A young boy restore order group bullies steal magical book acts portal Earth imaginary world Fantasia
Comedy Romance,110972.0,/6KO5jsPOr80J8PkKXPE8fym5I2R.jpg,Pie in the Sky,Pie Sky 1996 American romantic comedy film young man obsessed traffic gridlock falls love avantgarde dancer
Comedy Drama,32622.0,/dw5RWgSSDV5h3ZKS0oSzPe6A26p.jpg,Angela,A year old girl named Angela leads year old sister Ellie regimens purification attempt rid evil believes cause mothers mental illness Precocious Angela visions Lucifer coming sister away remedies remain circle dolls toys vision virgin Mary come But thinking lead ending befitting mental state
